run,format,compile_ns,execute_ns,total_ns,code_bytes,checksum
1,fixed32,7900,44504900,44512800,172,4138212
1,direct,14300,130701300,130715600,688,4138212
1,variable,13900,109179500,109193400,92,4138212
2,fixed32,8000,44725600,44733600,172,4138212
2,direct,8700,128040100,128048800,688,4138212
2,variable,11500,105294800,105306300,92,4138212
3,fixed32,7600,46110000,46117600,172,4138212
3,direct,14200,132335900,132350100,688,4138212
3,variable,13900,96743100,96757000,92,4138212
4,fixed32,7500,45603600,45611100,172,4138212
4,direct,7600,129507200,129514800,688,4138212
4,variable,11500,106290000,106301500,92,4138212
5,fixed32,7600,45118800,45126400,172,4138212
5,direct,9700,128439800,128449500,688,4138212
5,variable,11400,105603800,105615200,92,4138212
6,fixed32,7800,44920900,44928700,172,4138212
6,direct,10100,127704600,127714700,688,4138212
6,variable,11500,107324300,107335800,92,4138212
7,fixed32,7800,46469700,46477500,172,4138212
7,direct,8200,131372900,131381100,688,4138212
7,variable,11400,110233500,110244900,92,4138212
8,fixed32,7600,46478000,46485600,172,4138212
8,direct,8800,131401400,131410200,688,4138212
8,variable,11900,108117300,108129200,92,4138212
9,fixed32,7900,46844700,46852600,172,4138212
9,direct,9700,131796200,131805900,688,4138212
9,variable,11900,107782100,107794000,92,4138212
